P,avg_gbps,min_gbps,max_gbps,cv_pct,avg_retransmits
1,40.30,37.76,43.26,5.22,0.0
2,83.42,79.81,85.62,2.67,0.0
4,84.98,79.56,86.80,3.20,0.0
8,84.28,79.80,86.39,2.76,0.0
12,85.46,84.22,86.49,1.14,0.0
16,85.79,84.38,86.52,0.86,0.0
20,86.06,85.88,86.22,0.13,0.0
24,87.67,85.65,89.09,1.80,0.0
28,88.70,88.40,89.12,0.37,0.0
32,89.26,89.14,89.34,0.08,0.0
