P,avg_agg_gbps,min,max,cv_pct,avg_retransmits
1,56.97,49.07,67.96,9.50,0.0
2,93.54,77.02,103.66,8.93,2.8
4,99.63,95.28,103.85,2.67,1839.7
8,101.35,97.53,102.46,1.43,30838.6
12,100.35,97.25,102.50,1.47,98828.8
16,100.43,98.41,101.69,1.08,123051.2
20,100.42,99.07,101.43,0.67,134248.9
24,100.09,98.60,101.15,0.79,148002.4
28,101.16,99.60,102.52,0.76,155113.2
32,100.51,98.41,102.54,1.26,157890.8
