P,iter,core5,core6,core7,core8,core9,core10,core11,core12
28,9,44.96,44.37,42.64,38.15,38.67,38.58,41.71,38.63
28,10,44.81,42.61,43.13,38.07,42.03,38.55,40.67,39.62
32,1,44.60,44.00,44.49,40.14,37.05,37.89,39.81,40.29
32,2,43.90,42.74,41.95,41.92,42.21,38.72,40.32,42.76
32,3,44.54,43.77,42.41,38.10,39.97,39.94,41.66,39.77
32,4,43.81,43.32,43.28,37.78,42.34,41.01,38.47,40.01
32,5,44.15,43.70,43.53,39.83,38.53,42.51,41.57,37.57
32,6,41.22,45.86,43.50,40.87,38.58,41.71,39.81,41.04
32,7,43.38,43.39,42.64,41.95,41.72,40.63,37.40,39.72
32,8,43.39,43.25,43.57,38.69,39.84,40.04,38.92,39.77
32,9,43.29,42.66,43.20,39.83,41.03,42.29,40.85,39.08
32,10,45.72,44.79,43.40,40.96,35.98,41.34,39.79,37.82
