P,iter,agg_gbps,retransmits
1,1,177.77,0
1,2,183.78,0
1,3,215.43,0
1,4,206.43,0
1,5,226.36,0
1,6,214.47,0
1,7,215.44,0
1,8,189.51,0
1,9,222.91,0
1,10,231.39,0
2,1,332.33,5
2,2,329.91,0
2,3,335.54,3
2,4,296.00,717
2,5,326.75,2
2,6,338.17,6
2,7,299.01,2
2,8,329.96,6
2,9,321.23,8
2,10,316.96,10
4,1,342.10,18006
4,2,287.08,15800
4,3,203.43,15800
4,4,325.30,23878
4,5,338.45,10844
4,6,323.61,24911
4,7,320.41,16596
4,8,334.66,16336
4,9,333.03,18783
4,10,330.32,17539
8,1,336.43,141364
8,2,332.35,121365
8,3,327.23,123655
8,4,329.15,156120
8,5,332.49,124463
8,6,326.97,123473
8,7,331.37,137955
8,8,327.79,137901
8,9,322.06,141093
8,10,336.93,125578
12,1,333.61,254406
12,2,323.19,256359
12,3,332.26,270832
12,4,331.49,274858
12,5,331.05,337531
12,6,335.63,252390
12,7,327.26,270470
12,8,328.60,280669
12,9,336.17,322411
12,10,334.61,304174
16,1,332.79,374431
16,2,325.35,393598
16,3,332.03,363508
16,4,339.72,468366
16,5,328.75,399729
16,6,337.43,429619
16,7,332.31,453788
16,8,337.05,457700
16,9,332.68,392183
16,10,334.83,380825
20,1,338.71,483226
20,2,339.09,508184
20,3,332.42,439582
20,4,337.34,518504
20,5,333.65,513827
20,6,328.78,487555
20,7,335.80,506321
20,8,331.02,449406
20,9,333.11,480618
20,10,331.60,511755
24,1,330.05,563898
24,2,328.01,513185
24,3,329.33,566488
24,4,329.65,551966
24,5,332.45,524025
24,6,338.02,568045
24,7,329.07,524699
24,8,328.42,563671
24,9,333.24,559093
24,10,340.12,624952
28,1,333.26,604692
28,2,329.10,556983
28,3,337.39,625480
28,4,332.32,660089
28,5,330.59,618740
28,6,330.34,653306
28,7,330.73,563021
28,8,331.66,585598
28,9,327.70,576754
28,10,329.48,605336
32,1,328.28,606110
32,2,334.53,762717
32,3,330.16,612752
32,4,330.02,692671
32,5,331.39,710434
32,6,332.60,744907
32,7,330.85,737384
32,8,327.48,601794
32,9,332.23,624967
32,10,329.82,662089
