P,avg_agg_gbps,min,max,cv_pct,avg_retransmits
1,362.10,315.38,376.66,5.12,844.8
2,377.33,376.98,377.61,0.04,1406.2
4,377.10,376.77,377.50,0.07,3143.9
8,377.00,376.76,377.33,0.05,3267.1
12,377.06,376.64,378.63,0.15,3780.1
16,376.58,376.28,376.77,0.04,3797.6
20,376.45,376.05,376.76,0.06,7088.3
24,375.59,372.63,377.04,0.40,6161.1
28,376.57,375.56,377.04,0.11,5937.3
32,376.81,376.60,377.14,0.04,8853.9
