P,iter,agg_gbps,retransmits
1,1,373.44,3208
1,2,357.00,1144
1,3,368.93,0
1,4,366.81,0
1,5,371.56,0
1,6,341.95,1253
1,7,373.15,271
1,8,376.66,2572
1,9,315.38,0
1,10,376.16,0
2,1,376.98,3124
2,2,377.19,709
2,3,377.25,1256
2,4,377.43,0
2,5,377.39,2862
2,6,377.27,4443
2,7,377.45,537
2,8,377.61,0
2,9,377.40,774
2,10,377.31,357
4,1,377.04,3898
4,2,376.77,2991
4,3,377.37,6034
4,4,377.06,2720
4,5,376.98,2855
4,6,377.50,1249
4,7,377.47,1725
4,8,376.79,4172
4,9,377.08,2811
4,10,376.98,2984
8,1,376.83,4797
8,2,377.15,3203
8,3,377.20,1649
8,4,376.76,3116
8,5,376.81,2914
8,6,377.16,4096
8,7,376.95,3131
8,8,377.04,3171
8,9,376.81,2981
8,10,377.33,3613
12,1,377.01,3492
12,2,377.27,3488
12,3,376.73,2861
12,4,376.74,2995
12,5,377.05,3173
12,6,376.77,5260
12,7,376.86,3293
12,8,376.91,3589
12,9,376.64,3696
12,10,378.63,5954
16,1,376.41,3671
16,2,376.54,2896
16,3,376.75,4449
16,4,376.69,4179
16,5,376.62,3812
16,6,376.56,671
16,7,376.69,3630
16,8,376.54,2906
16,9,376.77,7464
16,10,376.28,4298
20,1,376.60,4322
20,2,376.05,5014
20,3,376.42,3674
20,4,376.09,3954
20,5,376.49,7294
20,6,376.41,9704
20,7,376.53,14122
20,8,376.57,6514
20,9,376.57,10373
20,10,376.76,5912
24,1,376.51,4820
24,2,374.64,13339
24,3,374.02,5416
24,4,376.72,8216
24,5,372.63,5206
24,6,374.06,4082
24,7,376.52,5681
24,8,376.75,5153
24,9,376.97,5341
24,10,377.04,4357
28,1,376.83,2980
28,2,376.56,7252
28,3,377.04,6635
28,4,375.56,8881
28,5,376.85,6067
28,6,376.11,9568
28,7,376.75,7652
28,8,376.57,3131
28,9,376.76,4659
28,10,376.72,2548
32,1,376.76,7961
32,2,376.73,9139
32,3,376.68,7275
32,4,376.70,7677
32,5,376.96,8642
32,6,376.99,10661
32,7,377.14,8109
32,8,376.77,6015
32,9,376.77,13567
32,10,376.60,9493
